id,name,team,land,geschlecht,plusstunden,projekte
M001,Anna,Team_C,AT,w,16.5,4
M002,Bertram,Team_A,FR,m,44.4,9
M003,Charlotte,Team_A,FR,w,1.8,4
M004,Dennis,Team_A,FR,m,33.7,12
M005,Emily,Team_C,FR,w,13.2,10
M006,Farid,Team_B,AT,m,9.6,7
M007,Greta,Team_B,DE,w,57.4,6
M008,Hannes,Team_A,AT,m,21.5,6
M009,Ines,Team_C,DE,w,43.8,9
M010,Jonas,Team_A,DE,m,17.6,11
M011,Klara,Team_C,DE,w,42.3,1
M012,Lukas,Team_C,AT,m,59.1,4
M013,Mira,Team_A,DE,w,38.1,6
M014,Noah,Team_A,DE,m,40.2,12
M015,Olga,Team_C,FR,w,38.1,9
M016,Paul,Team_C,AT,m,22.8,11
M017,Quentin,Team_C,FR,m,19.5,1
M018,Rosa,Team_A,AT,w,24.1,2
M019,Simon,Team_A,FR,m,18.9,11
M020,Tara,Team_B,DE,w,38.6,3
M021,Uwe,Team_E,AT,m,27.3,5
M022,Vera,Team_B,DE,w,,4
